Sun,-4.311850659979443E-03,7.298065198653105E-03,3.720997912022517E-05,-8.224253649815254E-06,-2.570416485533105E-06,2.290908044161530E-07,1988500E+24
Mercury,-3.934037217762579E-01,-7.958147367701061E-03,3.448373392642382E-02,-4.759669991620357E-03,-2.690680271572506E-02,-1.762365813484332E-03,3.302E+23
Venus,-1.742587460426742E-01,7.056579289058994E-01,1.942681150682346E-02,-1.972930016137096E-02,-4.896867345510635E-03,1.071115808767858E-03,48.685E+23
Earth,-9.502710191830832E-01,3.037386519063761E-01,2.706425896108063E-05,-5.427527447376841E-03,-1.648591281215547E-02,4.075683638317640E-07,5.97219E+24
Moon,-9.495741155118474E-01,3.062574469633050E-01,-5.605318277630300E-05,-5.990714614524889E-03,-1.636656585491069E-02,4.913932378807352E-05,7.349E+22
Mars,-6.432657651992619E-01,-1.364266943653655E+00,-1.302567645344214E-02,1.320439097042467E-02,-4.710425635825902E-03,-4.225871446239946E-04,6.4171E+23
Jupiter,9.794263809924345E-01,-5.103778606972236E+00,-7.439925448934509E-04,7.318493900159480E-03,1.781125896686978E-03,-1.711242402542960E-04,1898.13E+24
Saturn,4.092251128818350E+00,-9.145572741286006E+00,-3.889181049185752E-03,4.783475608328803E-03,2.263098675818615E-03,-2.300533098140327E-04,5.6834E+26
Uranus,1.607862567011366E+01,1.157386450689399E+01,-1.653150553055077E-01,-2.326752664925145E-03,3.008823784350268E-03,4.121957575246870E-05,86.813E+24
Neptune,2.927846594474475E+01,-6.168280531851882E+00,-5.477271331250068E-01,6.266074443795330E-04,3.090771046633419E-03,-7.793584121381927E-05,102.413E+24
Pluto,1.315699849144053E+01,-3.132929743037584E+01,-4.533607542299796E-01,2.965917271839107E-03,5.464425498800622E-04,-9.163983123906408E-04,1.307E+22
Halley,-2.029743054143275E+01,2.663012278981497E+01,-9.973466231885871E+00,2.259121428923528E-04,5.694664718132016E-04,-3.248006830122058E-05,2.2E+14
